train_size,train_acc_mean,val_acc_mean,train_logloss_mean,val_logloss_mean
8000,1.0,0.9527666666666668,0.00010134350228524338,0.3624237100644478
16000,1.0,0.9619666666666666,0.0005416631111104991,0.3063315295154258
24000,1.0,0.9667666666666666,0.0010249890885643351,0.2776954904131976
32000,1.0,0.9693,0.0014154339993224438,0.25874952448856225
40000,0.9999416666666666,0.9706,0.0018393930907537152,0.24468595932378165
