name,test_acc,f1_macro,f1_micro,auc_macro,runtime_s
only_earlystop,0.9814000129699707,0.9812564621694303,0.9814,0.9997346649940946,14.190866708755493
dropout_plus_earlystop,0.9797999858856201,0.9796990137613125,0.9798,0.9996246985877161,12.814095735549927
only_dropout,0.9781000018119812,0.9778570910901886,0.9781,0.9996346947430623,13.781676292419434
l2_plus_earlystop,0.9761999845504761,0.9760199397565472,0.9762,0.9995621882959883,17.960952520370483
l2_plus_dropout,0.9760000109672546,0.9759223314977282,0.976,0.9995777087985471,17.470539569854736
l2_dropout_earlystop,0.9746000170707703,0.9744767919315136,0.9746,0.9995271653051809,17.8717143535614
baseline_none,0.9726999998092651,0.9724890414389789,0.9727,0.999518260388329,14.587477684020996
only_l2,0.9700999855995178,0.9699972710767728,0.9701,0.9995048297280054,18.554207801818848
